userid	timestamp	arm_pool
250	1214863200000	[182, 3612, 1588, 3945, 10036, 15863, 4295, 11923, 18339, 8681, 10340, 16666, 17307, 1150, 2858, 5711, 7421, 13915, 11968, 908, 1342, 6869, 611, 11737, 3311]
450	1262300400000	[1028, 12384, 1355, 12058, 6833, 12984, 15272, 7166, 15082, 4618, 12229, 9537, 9980, 957, 9216, 10220, 1611, 12639, 543, 2379, 11592, 11840, 10716, 3931, 13452]
461	1212271200000	[18458, 621, 6521, 7023, 2525, 15407, 10616, 15915, 17133, 5437, 8650, 4448, 14680, 16374, 4191, 7930, 15769, 13543, 11006, 1232, 8212, 15860, 3867, 4834, 3382]
947	1130799600000	[5660, 10228, 1614, 11345, 62, 4233, 4125, 13953, 2466, 13395, 17079, 18108, 12890, 7404, 13010, 17513, 3949, 3719, 1201, 12351, 13836, 18459, 515, 2618, 5226]
668	1207000800000	[4971, 7058, 2710, 12585, 3245, 17164, 6940, 7724, 4691, 13609, 12915, 16611, 14682, 4315, 16057, 18693, 8334, 14673, 86, 3255, 7681, 14896, 11226, 7501, 12987]
834	1257030000000	[488, 1341, 5325, 11315, 10728, 11958, 1186, 3991, 9839, 8916, 3975, 18356, 18227, 16971, 17652, 12138, 14575, 3737, 16650, 9762, 14943, 14680, 1499, 9582, 407]
265	1280613600000	[1009, 2320, 1316, 10758, 13287, 13730, 15866, 2824, 11765, 13810, 14668, 7835, 18547, 7594, 11730, 10386, 10862, 7074, 5618, 14374, 14853, 3333, 13227, 4224, 8959]
899	1280613600000	[1803, 2488, 141, 918, 16242, 17652, 2833, 16749, 10195, 4289, 3854, 782, 13669, 2153, 7754, 4866, 15390, 174, 79, 13435, 11930, 216, 8370, 10960, 14787]
212	1283292000000	[1342, 4708, 6654, 5640, 3561, 6507, 3370, 3539, 3349, 17189, 12768, 9447, 1621, 4270, 13226, 114, 1956, 1042, 2179, 5955, 17653, 7262, 6142, 957, 2196]
495	1283292000000	[18191, 2435, 5573, 1325, 10831, 16497, 18108, 13618, 9077, 1251, 1438, 9877, 2833, 3083, 1276, 8633, 5157, 9197, 11149, 2543, 6399, 18540, 3186, 2978, 9382]
1813	1209592800000	[3466, 13530, 4552, 9043, 1429, 13266, 8467, 5446, 14736, 7211, 5460, 10235, 7742, 8882, 8743, 392, 5179, 6167, 7960, 15961, 9736, 8648, 4008, 17420, 2646]
1104	1217541600000	[2556, 15161, 214, 11777, 12041, 17395, 6457, 775, 5053, 1137, 1887, 5070, 16294, 11295, 13306, 13743, 7320, 10799, 1995, 6763, 7806, 2326, 12493, 10244, 1330]
1627	1193871600000	[899, 18110, 11005, 16182, 12662, 15159, 12573, 3900, 8608, 7320, 7727, 18331, 12992, 14204, 2577, 10883, 2029, 6764, 1786, 3525, 17914, 13184, 12773, 18668, 11649]
212	1293836400000	[54, 3765, 13953, 7745, 13686, 14542, 5444, 1803, 13210, 13435, 12370, 4558, 1579, 10695, 14959, 18637, 1952, 6699, 2657, 9796, 5126, 4171, 16927, 9337, 8423]
1676	1183240800000	[1502, 1724, 1839, 894, 7539, 9449, 2733, 1830, 12429, 12076, 10521, 3313, 10989, 7411, 18021, 12563, 1826, 7511, 12031, 14589, 17384, 13137, 11950, 2835, 11041]
1014	1164927600000	[2677, 6919, 10194, 11796, 4161, 14669, 16388, 1830, 3216, 11118, 1596, 17622, 10415, 14950, 15296, 2173, 15338, 732, 14115, 16182, 9781, 9230, 912, 17087, 18110]
116	1275343200000	[291, 6894, 294, 2475, 11594, 2767, 9230, 15751, 12002, 13760, 5441, 3716, 5333, 10370, 10577, 18041, 5113, 173, 851, 2572, 16677, 7530, 4717, 11653, 8045]
1289	1291158000000	[4535, 15296, 9170, 6676, 11090, 1511, 1517, 17714, 3825, 5230, 16501, 5894, 1704, 9046, 15443, 10395, 6788, 5258, 4502, 4625, 1915, 9672, 11728, 6389, 16233]
64	1204326000000	[17890, 18564, 14200, 7454, 11189, 7319, 5936, 11054, 14852, 4666, 12212, 14651, 15776, 4493, 231, 14087, 5814, 12820, 17329, 10901, 2425, 15362, 7748, 7334, 10592]
1888	1225494000000	[7157, 15163, 8103, 16879, 10968, 18183, 17472, 15905, 7541, 2196, 14460, 6182, 269, 10926, 9003, 2865, 3370, 8567, 961, 1987, 17818, 2032, 16310, 355, 8993]
638	1288566000000	[845, 6014, 170, 3347, 2107, 15292, 10833, 7349, 18127, 14930, 4318, 3250, 320, 12706, 7268, 9594, 16255, 17488, 5181, 11795, 12000, 720, 11277, 7228, 12035]
