New Run at  02/01/2016 09:16:48
, Time, RandomReward; CFUCBReward; 
data,1242209619000,0;21011;0
data,1275323320000,0;56085;0
data,1266449909000,1;41980;0
data,1219287567000,1;1887;0
data,1287500068000,1;1777;0
data,1284635518000,1;9361;0
data,1286856944000,1;59653;0
data,1285914582000,1;97326;0
data,1257045218000,1;81866;0
data,1273462785000,1;97092;0
data,1207847279000,1;19114;0
data,1193975643000,1;63431;0
data,1282361430000,1;50340;0
data,1285235697000,1;52618;0
data,1286498919000,1;96758;0
data,1288443361000,1;13163;0
data,1268187697000,1;96019;0
data,1262629604000,1;95937;0
data,1281534618000,1;60897;0
data,1287266434000,1;78729;0
data,1205867972000,1;49481;1
data,1287926772000,1;36092;1
data,1280518281000,1;75814;1
data,1286686191000,1;1946;1
data,1287517823000,1;86585;1
data,1288454411000,1;22631;1
data,1286225479000,1;48227;1
data,1241460169000,1;51641;1
data,1206011521000,1;22349;1
data,1276583736000,1;99232;1
data,1288956089000,1;92590;1
data,1284464504000,1;104693;1
data,1269351411000,1;48194;1
data,1282079666000,1;90378;1
data,1265892978000,1;24941;1
data,1287191288000,1;84111;1
data,1282235570000,1;51691;1
data,1253794822000,1;35586;1
data,1287580319000,2;60063;1
data,1207835987000,2;36418;1
data,1241168919000,2;55552;1
data,1256587333000,3;61889;2
data,1246949753000,3;14879;2
data,1214058130000,3;48653;2
data,1288776362000,3;86123;2
data,1233251696000,3;59069;2
data,1240888040000,3;62744;2
data,1287679407000,3;2173;2
data,1282476862000,3;48872;2
data,1281803711000,3;69139;2
data,1280865475000,3;26567;3
data,1285921500000,3;37754;3
data,1247035558000,3;34954;3
data,1251348584000,3;84602;4
data,1282243707000,3;32972;4
data,1249716947000,3;68708;4
data,1274059460000,3;95259;4
data,1288012418000,3;56127;4
data,1283983485000,3;27084;4
data,1281037209000,3;49692;4
data,1288099337000,3;92901;4
data,1274164453000,3;80401;4
data,1244987918000,3;9441;4
data,1287518712000,3;44207;4
data,1240247160000,3;17014;4
data,1288901460000,3;66861;4
data,1288273919000,3;99141;4
data,1285094928000,3;47016;4
data,1276179179000,3;14415;4
data,1252197816000,3;90;4
data,1279292524000,3;7960;5
data,1286468213000,3;87182;5
data,1282845548000,3;89630;5
data,1285429554000,3;68834;5
data,1278426848000,3;11060;5
data,1286211105000,3;90770;5
data,1287355000000,3;3349;5
data,1190297766000,3;92433;5
data,1288218741000,3;29697;5
data,1287491330000,3;73920;5
data,1278536068000,3;647;5
data,1282868938000,3;63111;5
data,1275203820000,3;84837;5
data,1250104255000,3;101724;5
data,1283070430000,3;9674;5
data,1262617631000,3;105637;5
data,1271700772000,3;83480;5
data,1280076412000,3;85233;5
data,1240164967000,3;33324;5
data,1288253738000,3;5560;5
data,1286493146000,3;7946;5
data,1285773761000,3;47579;5
data,1284468740000,3;55118;5
data,1288646219000,3;67675;5
data,1288462862000,3;37747;5
data,1286651139000,4;73490;5
data,1250181629000,4;60834;5
data,1288518533000,4;91948;5
data,1289187325000,4;54583;5
data,1287558780000,4;85722;5
data,1281614784000,4;47520;5
data,1264178437000,4;52363;5
data,1227525528000,4;84714;5
data,1263435289000,4;82402;5
data,1280831244000,4;21289;5
data,1239320612000,4;89000;5
data,1232916332000,4;36063;5
data,1277820379000,4;81424;5
data,1250819800000,4;11321;5
data,1288856569000,4;2815;5
data,1208794547000,5;74665;5
data,1268664971000,5;98502;5
data,1288593147000,5;55241;5
data,1284549845000,5;93976;5
data,1259053563000,5;94187;5
data,1288782012000,5;73785;5
data,1244665104000,5;93163;5
data,1280054763000,5;28049;6
data,1271604318000,5;78936;6
data,1282162119000,5;16924;6
data,1287648704000,5;30501;6
data,1283777270000,5;16854;6
data,1228314508000,5;10561;6
data,1256497722000,5;1942;6
data,1287152544000,5;75526;6
data,1234487959000,5;51479;6
data,1256495895000,5;66754;7
data,1214922925000,5;47555;7
data,1216060383000,5;20161;7
data,1288188450000,5;13330;7
data,1221532343000,5;29409;7
data,1275908903000,5;81312;7
data,1206599472000,5;67204;7
data,1203849915000,5;28937;7
data,1258811163000,5;55656;7
data,1280003351000,5;105104;7
data,1253825778000,5;74307;7
data,1269085865000,5;3772;7
data,1261054123000,5;39691;7
data,1280965498000,5;16897;7
data,1262984713000,5;90388;7
data,1289006107000,5;80590;7
data,1262894593000,5;99297;7
data,1282489173000,5;6082;7
data,1221078649000,5;13564;7
data,1287605111000,5;36752;7
data,1265386214000,5;101062;7
data,1204233266000,5;73230;7
data,1156913821000,5;87460;7
data,1274712493000,5;88699;7
data,1287244105000,5;4250;7
data,1258467828000,5;7351;7
data,1257326726000,5;13968;8
data,1274803810000,5;10183;8
data,1222884296000,5;69045;8
data,1287965136000,5;93465;8
data,1289159362000,5;47418;8
data,1287117850000,5;91179;8
data,1236007422000,5;4374;9
data,1286405466000,5;78483;9
data,1285962115000,5;66293;9
data,1193155693000,5;13126;9
data,1268122304000,5;63083;9
data,1288023318000,5;37591;9
data,1285773314000,5;42455;9
data,1286822123000,5;40246;9
data,1286799328000,5;91982;9
data,1288377797000,5;26229;9
data,1260534113000,5;876;9
data,1288913108000,5;62004;9
data,1240062149000,5;97264;9
data,1286446963000,5;17751;9
data,1287505631000,5;101169;9
data,1289098435000,5;88735;9
data,1279580198000,5;74326;9
data,1229239438000,5;23317;9
data,1284476709000,5;53233;9
data,1238599907000,5;58379;9
data,1262972714000,5;30466;9
data,1285282361000,5;71961;9
data,1282643851000,5;24569;9
data,1265533860000,5;15767;9
data,1285277821000,5;2129;9
data,1284244380000,6;64691;9
data,1287045478000,6;52519;9
data,1288187596000,7;95501;9
data,1287571908000,8;51302;9
data,1270729434000,8;17578;9
data,1201843926000,8;35345;10
data,1288394678000,8;38626;10
data,1282604892000,8;43216;10
data,1248283967000,8;27891;10
data,1244031648000,8;51953;10
data,1286464997000,8;22928;10
data,1289013416000,8;71723;10
data,1288053772000,8;83476;10
data,1282693994000,8;65238;10
data,1286336807000,8;42686;10
data,1258079559000,8;16061;10
data,1286800065000,8;63862;10
data,1269469351000,8;98840;10
data,1272909448000,8;57033;10
data,1221155519000,8;17529;10
data,1279027016000,8;102799;10
data,1264541578000,8;54559;10
data,1257298374000,8;29352;10
data,1277904926000,8;694;10
data,1223534818000,8;31794;10
data,1268834515000,8;33374;10
data,1284470177000,8;55373;10
data,1273791017000,8;212;10
data,1280459802000,8;42990;10
data,1282227744000,9;32464;10
data,1276035646000,9;55031;11
data,1287403755000,9;68925;11
data,1288114574000,9;39828;11
data,1286175978000,9;17543;11
data,1252953264000,9;106907;11
data,1288414508000,9;42498;11
data,1288874147000,9;69787;11
data,1288234033000,9;67289;11
data,1247643857000,9;88155;11
data,1225285498000,9;52452;11
data,1286997512000,9;31912;11
data,1229629030000,9;33037;11
data,1280425504000,9;64428;11
data,1280407001000,9;43459;11
data,1284243911000,9;54298;11
data,1287017455000,9;30033;11
data,1284319721000,9;85540;11
data,1288221889000,9;65097;11
data,1288646743000,9;42665;11
data,1285988712000,9;64317;11
data,1227548419000,9;84652;11
data,1272574145000,9;90743;11
data,1287681649000,9;19236;11
data,1288270075000,9;69419;11
data,1265153563000,9;60629;11
data,1276770911000,9;64327;11
data,1246199593000,9;104403;11
data,1287593610000,9;10699;11
data,1218268649000,9;40810;11
data,1208000382000,9;100742;11
data,1209088850000,9;66910;11
data,1289324305000,9;97885;11
data,1286799750000,9;27276;11
data,1252446068000,9;42497;11
data,1242042754000,9;72229;11
data,1285271952000,9;105564;11
data,1215453874000,9;24823;11
data,1286873899000,9;4041;12
data,1286790612000,9;1328;12
data,1261377747000,9;29316;12
data,1276806853000,9;81973;12
data,1268835259000,9;1237;12
data,1273057508000,9;52997;12
data,1286539765000,9;7097;12
data,1286868099000,10;41284;12
data,1288969237000,10;60156;12
data,1286103481000,10;14824;12
data,1288729275000,10;97788;12
data,1288435918000,10;78751;12
data,1263954680000,10;73342;12
data,1287688865000,10;6968;12
data,1235480947000,10;87781;12
data,1194180531000,10;33082;12
data,1229526643000,10;31490;12
data,1231526230000,10;21036;12
data,1257402456000,10;51205;12
data,1288753480000,10;66467;12
data,1288012316000,10;93573;12
data,1271443586000,10;60789;12
data,1281754052000,10;80407;12
data,1281018939000,10;74460;12
data,1263647466000,10;49986;12
data,1231812349000,10;52987;12
data,1277304155000,10;20533;12
data,1288984238000,10;88046;12
data,1207138735000,10;89461;12
data,1282067372000,10;91407;12
data,1285644966000,10;84440;12
data,1285870901000,10;89540;12
data,1196398652000,10;81771;12
data,1271832280000,10;15495;12
data,1266961502000,10;43220;12
data,1289288776000,10;69145;13
data,1289228999000,10;38147;13
data,1279664876000,10;95448;13
data,1206523716000,10;35881;13
data,1249541450000,10;990;13
data,1237161386000,10;98967;13
data,1285597180000,10;49433;13
data,1274593059000,10;103432;13
data,1266826124000,10;74441;13
data,1287500348000,10;82762;13
data,1280456458000,10;40870;13
data,1267724482000,10;3027;13
data,1285077727000,10;56661;13
data,1284737838000,10;50417;13
data,1286883796000,10;98269;13
data,1232105672000,10;56454;13
data,1237844784000,10;11647;13
data,1249924991000,10;27063;13
data,1288456501000,10;92530;13
data,1256333617000,10;54186;13
data,1272302589000,10;52785;13
data,1282627172000,10;98822;13
data,1285608306000,10;73207;13
data,1286230108000,10;12922;13
data,1258569224000,10;107108;13
data,1245382735000,10;93351;13
data,1208991736000,10;104200;13
data,1229504161000,10;22887;13
data,1225070164000,10;67051;13
data,1289054862000,10;72639;13
data,1283882307000,10;12798;13
data,1289127605000,10;3860;13
data,1277678312000,10;67513;14
data,1286982149000,10;69363;14
data,1289169792000,10;66636;14
data,1257757980000,10;74374;14
data,1269692394000,10;86237;14
data,1280743102000,10;64585;14
data,1289043833000,10;59943;14
data,1237563292000,10;101577;14
data,1283926241000,10;42575;14
data,1288024824000,10;104995;14
data,1289306069000,10;7810;14
data,1288019959000,10;74357;14
data,1256242330000,10;35689;14
data,1289091547000,10;67086;14
data,1286894804000,10;104428;14
data,1223564868000,10;52125;15
data,1284470170000,10;80128;15
data,1287810455000,10;23704;15
data,1267153669000,10;15514;15
data,1286181067000,10;66785;15
data,1286277475000,10;54551;15
data,1216942453000,10;46418;15
data,1165311866000,10;73842;15
data,1274342674000,10;104468;15
data,1254235710000,10;82799;15
data,1287092670000,10;28186;15
data,1285964473000,10;11840;15
data,1287078317000,10;71601;15
data,1273211211000,10;68890;15
data,1286109837000,10;47476;15
data,1287143963000,10;98419;15
data,1278048643000,10;99309;15
data,1282705474000,10;57964;15
data,1288023815000,10;69189;15
data,1271834887000,10;57661;15
data,1272093142000,10;24431;15
data,1257187846000,10;92319;15
data,1289168447000,10;39690;15
data,1256108511000,10;96672;15
data,1289054620000,10;62915;15
data,1281530725000,10;34641;15
data,1282270988000,10;78686;15
data,1271314250000,10;68807;15
