New Run at  02/01/2016 09:14:23
, Time, RandomReward; CFUCBReward; 
data,1283292000000,0;3563;0
data,1228086000000,0;2812;0
data,1272664800000,0;16927;0
data,1191189600000,0;788;0
data,1246399200000,0;96;0
data,1254348000000,0;12941;0
data,1254348000000,0;13529;0
data,1246399200000,0;7750;0
data,1149112800000,0;17428;0
data,1298934000000,1;89;1
data,1220220000000,1;4978;1
data,1270072800000,1;1677;1
data,1254348000000,1;183;1
data,1122847200000,1;15178;1
data,1277935200000,1;6034;1
data,1175378400000,1;718;1
data,1193871600000,1;3971;1
data,1267398000000,1;1011;1
data,1199142000000,1;18647;1
data,1246399200000,1;303;1
data,1280613600000,1;943;1
data,1283292000000,1;1196;1
data,1212271200000,1;10337;1
data,1230764400000,1;3450;1
data,1267398000000,1;2135;1
data,1225494000000,1;4980;1
data,1293836400000,1;3268;1
data,1214863200000,1;10298;1
data,1214863200000,1;2137;1
data,1259622000000,1;12004;1
data,1177970400000,1;2765;1
data,1291158000000,1;17505;1
data,1238536800000,1;8888;1
data,1280613600000,1;10032;1
data,1254348000000,1;16823;1
data,1264978800000,1;13583;1
data,1209592800000,1;5462;1
data,1285884000000,1;3737;1
data,1249077600000,1;3464;1
data,1180648800000,1;3302;1
data,1304600809888,2;3940;1
data,1217541600000,2;7889;1
data,1209592800000,2;2266;1
data,1304667929964,2;1715;1
data,1264978800000,2;148;1
data,1217541600000,2;7866;1
data,1230764400000,2;13026;1
data,1180648800000,2;17569;1
data,1241128800000,2;10227;1
data,1275343200000,2;9093;1
data,1296514800000,2;1417;1
data,1275343200000,2;16101;1
data,1212271200000,2;4033;1
data,1254348000000,2;17880;1
data,1162335600000,2;16111;1
data,1277935200000,2;13452;1
data,1270072800000,2;1084;1
data,1262300400000,2;7743;1
data,1249077600000,2;11099;1
data,1254348000000,2;6357;1
data,1175378400000,2;7404;1
data,1291158000000,3;4939;1
data,1196463600000,3;3087;1
data,1262300400000,3;1570;1
data,1185919200000,3;17336;1
data,1285884000000,3;18531;1
data,1304598164008,3;14532;1
data,1267398000000,3;4738;1
data,1280613600000,3;16729;1
data,1293836400000,4;3255;1
data,1259622000000,4;11044;1
data,1267398000000,4;3129;1
data,1188597600000,4;16866;1
data,1304700094346,4;2853;1
data,1259622000000,4;11611;1
data,1283292000000,4;6756;1
data,1283292000000,4;16906;1
data,1214863200000,5;5716;1
data,1283292000000,5;1264;1
data,1257030000000,5;6013;1
data,1180648800000,5;11110;1
data,1175378400000,5;429;1
data,1283292000000,5;5040;1
data,1209592800000,5;14013;1
data,1298934000000,6;7319;1
data,1275343200000,6;772;1
data,1191189600000,6;3382;1
data,1304936927650,6;5163;1
data,1207000800000,6;1420;1
data,1222812000000,6;5044;1
data,1275343200000,6;17962;1
data,1204326000000,6;15476;1
data,1164927600000,6;16582;1
data,1212271200000,6;10066;1
data,1264978800000,6;6140;1
data,1257030000000,6;1561;1
data,1272664800000,6;10829;1
data,1246399200000,6;14959;1
data,1214863200000,6;1905;1
data,1233442800000,6;13214;1
data,1183240800000,6;6040;1
data,1201820400000,6;7644;1
data,1243807200000,6;4855;1
data,1298934000000,6;1102;1
data,1235862000000,6;4514;1
data,1185919200000,6;14693;1
data,1249077600000,6;9543;1
data,1207000800000,6;6629;1
data,1267398000000,7;592;1
data,1183240800000,7;3383;1
data,1280613600000,7;18229;1
data,1233442800000,7;8259;1
data,1162335600000,7;4775;1
data,1212271200000,7;472;1
data,1249077600000,7;8179;1
data,1262300400000,7;9237;1
data,1298934000000,7;3456;1
data,1193871600000,7;18396;1
data,1270072800000,7;5030;1
data,1259622000000,7;10305;1
data,1257030000000,7;13180;1
data,1291158000000,7;6337;1
data,1262300400000,7;9336;1
data,1164927600000,7;3327;1
data,1193871600000,7;3723;1
data,1196463600000,7;5675;1
data,1249077600000,7;1888;1
data,1283292000000,7;852;1
data,1193871600000,7;2009;1
data,1146434400000,7;4472;1
data,1185919200000,8;5153;1
data,1204326000000,8;8333;1
data,1204326000000,8;2996;1
data,1270072800000,8;17181;1
data,1249077600000,8;13533;1
data,1230764400000,8;10899;1
data,1291158000000,8;864;1
data,1220220000000,8;1923;1
data,1283292000000,8;4799;1
data,1280613600000,8;17108;1
data,1220220000000,8;1029;1
data,1228086000000,8;10685;1
data,1228086000000,8;13330;1
data,1296514800000,8;13816;1
data,1217541600000,8;11891;1
data,1230764400000,8;16049;1
data,1259622000000,8;8111;1
data,1209592800000,8;3875;1
data,1238536800000,8;14053;1
data,1235862000000,8;3196;1
data,1196463600000,8;4081;2
data,1212271200000,9;7428;2
data,1246399200000,9;7827;2
data,1220220000000,9;8152;2
data,1162335600000,9;5943;2
data,1230764400000,9;15189;2
data,1183240800000,9;17726;2
data,1272664800000,9;14250;2
data,1162335600000,9;861;2
data,1304599045883,9;17473;2
data,1162335600000,9;13454;2
data,1241128800000,9;229;3
data,1212271200000,9;350;3
data,1183240800000,9;7032;3
data,1246399200000,9;12788;3
data,1291158000000,9;2783;4
data,1285884000000,9;12092;4
data,1214863200000,9;2570;4
data,1283292000000,9;12386;4
data,1146434400000,9;8044;4
data,1243807200000,10;7358;4
data,1159653600000,10;668;4
data,1183240800000,10;2518;4
data,1212271200000,10;9135;4
data,1222812000000,10;8401;4
data,1146434400000,10;16026;4
data,1277935200000,10;4551;4
data,1275343200000,10;9822;4
data,1293836400000,10;18408;4
data,1214863200000,10;11930;4
data,1212271200000,10;2938;5
data,1146434400000,10;171;5
data,1288566000000,10;12201;5
data,1217541600000,10;15635;5
data,1185919200000,10;5911;5
data,1267398000000,10;11534;5
data,1283292000000,10;12903;5
data,1209592800000,10;955;5
data,1220220000000,11;7112;5
data,1217541600000,11;10560;5
data,1133391600000,11;2638;5
data,1230764400000,11;4673;5
data,1241128800000,11;5423;5
data,1270072800000,11;3094;5
data,1228086000000,11;4792;5
data,1272664800000,11;14214;5
data,1209592800000,11;18710;5
data,1214863200000,11;2582;5
data,1251756000000,11;1061;5
data,1283292000000,11;8649;5
data,1199142000000,11;91;5
data,1304934672165,11;1331;5
data,1222812000000,11;6336;5
data,1285884000000,11;18615;5
data,1288566000000,11;6898;5
data,1214863200000,11;6981;5
data,1183240800000,11;15776;5
data,1270072800000,11;15047;5
data,1254348000000,11;13025;5
data,1222812000000,11;1675;5
data,1228086000000,11;5322;5
data,1225494000000,11;16737;5
data,1264978800000,11;2151;5
data,1238536800000,11;690;5
data,1304677107571,11;1994;6
data,1275343200000,11;12998;6
data,1238536800000,11;2700;6
data,1185919200000,11;5553;6
data,1201820400000,11;16610;6
data,1185919200000,11;17872;6
data,1167606000000,11;10951;6
data,1249077600000,11;1463;6
data,1288566000000,11;5639;6
data,1283292000000,11;8253;6
data,1277935200000,12;9256;6
data,1180648800000,12;9369;6
data,1249077600000,12;18535;6
data,1272664800000,12;2442;6
data,1212271200000,12;10792;6
data,1296514800000,12;6802;6
data,1298934000000,12;3227;6
data,1154383200000,12;18509;6
data,1254348000000,12;2633;6
data,1201820400000,12;858;7
data,1272664800000,12;2940;7
data,1283292000000,12;14032;7
data,1209592800000,12;9795;7
data,1238536800000,12;11998;8
data,1304682198720,12;5937;8
data,1209592800000,12;3385;8
data,1285884000000,12;4827;8
data,1214863200000,12;4784;8
data,1235862000000,12;16021;8
data,1293836400000,12;496;8
data,1233442800000,12;3851;8
data,1217541600000,12;14623;8
data,1272664800000,12;2018;8
data,1277935200000,12;6461;8
data,1304700079964,12;14139;8
data,1225494000000,12;8043;8
data,1212271200000,12;5476;8
data,1277935200000,12;1976;8
data,1204326000000,12;785;8
data,1280613600000,12;3706;8
data,1270072800000,12;1712;8
data,1180648800000,12;2862;8
data,1298934000000,12;14791;8
data,1222812000000,12;8932;8
data,1238536800000,12;1527;8
data,1246399200000,12;10806;8
data,1285884000000,12;7899;8
data,1280613600000,12;13407;8
data,1283292000000,12;720;8
data,1238536800000,12;8880;8
data,1149112800000,12;2083;8
data,1298934000000,12;723;8
data,1277935200000,12;958;8
data,1257030000000,12;920;9
data,1154383200000,12;1195;9
data,1262300400000,12;446;9
data,1201820400000,12;951;9
data,1172703600000,12;7046;9
data,1291158000000,12;4143;9
data,1143842400000,12;567;9
data,1293836400000,12;894;9
data,1257030000000,12;7831;9
data,1177970400000,12;1385;9
data,1249077600000,12;2011;9
data,1246399200000,12;1093;9
data,1172703600000,12;7331;9
data,1201820400000,12;6600;9
data,1249077600000,12;4193;9
